t,memavail_mib,swap_used_mib,pswpin,pswpout,pgmajfault,nvme_read_mib,cpu_pct,cpu_max_core_pct,gpu_util,gpu_w,gpu_c,sm_mhz,throttle
07:10:07,37553,4197,4935288,7872391,14777162,130.8,6.5,100.0,3,11.44,46,2418,0x0000000000000000
07:10:08,37743,4197,4935288,7872391,14777166,130.5,7.1,100.0,4,11.46,46,2418,0x0000000000000000
07:10:09,37580,4197,4935288,7872391,14777167,132.6,6.7,100.0,3,11.44,46,2418,0x0000000000000000
07:10:10,37766,4197,4935288,7872391,14777171,126.2,6.5,100.0,4,11.39,46,2418,0x0000000000000000
07:10:11,37622,4197,4935288,7872391,14777171,131.5,7.0,100.0,3,11.41,46,2418,0x0000000000000000
07:10:12,37473,4197,4935288,7872391,14777171,129.5,6.5,100.0,4,11.41,46,2418,0x0000000000000000
07:10:13,37660,4197,4935288,7872391,14777175,128.2,7.4,99.0,4,11.42,46,2418,0x0000000000000000
07:10:14,37504,4197,4935288,7872391,14777175,134.5,6.5,100.0,4,11.44,46,2418,0x0000000000000000
07:10:15,37701,4197,4935288,7872391,14777177,128.4,6.6,100.0,4,11.44,46,2418,0x0000000000000000
07:10:16,37557,4197,4935288,7872391,14777179,131.1,6.6,100.0,4,11.38,46,2418,0x0000000000000000
07:10:17,37396,4197,4935288,7872391,14777179,133.0,6.6,100.0,3,11.40,46,2418,0x0000000000000000
07:10:18,37582,4197,4935288,7872391,14777183,130.5,7.4,100.0,3,11.39,46,2418,0x0000000000000000
07:10:19,37442,4197,4935288,7872391,14777183,126.0,6.5,100.0,3,11.35,46,2418,0x0000000000000000
07:10:20,37293,4197,4935293,7872391,14777188,133.0,6.6,100.0,3,11.42,46,2418,0x0000000000000000
07:10:21,37484,4197,4935293,7872391,14777192,123.9,6.8,100.0,4,11.40,45,2418,0x0000000000000000
07:10:22,37335,4197,4935293,7872391,14777192,128.5,6.6,100.0,4,11.38,45,2418,0x0000000000000000
07:10:23,37540,4197,4935294,7872391,14777197,128.7,7.2,99.0,3,11.40,45,2418,0x0000000000000000
07:10:24,37403,4197,4935294,7872391,14777197,133.2,6.6,100.0,3,11.38,45,2411,0x0000000000000000
07:10:25,37258,4197,4935294,7872391,14777197,129.5,6.6,100.0,3,11.42,45,2418,0x0000000000000000
07:10:26,37459,4197,4935294,7872391,14777201,126.7,6.6,100.0,3,11.39,45,2418,0x0000000000000000
07:10:27,37310,4197,4935294,7872391,14777201,132.5,6.3,100.0,3,11.37,45,2418,0x0000000000000000
07:10:28,37490,4197,4935294,7872391,14777203,132.7,7.3,100.0,4,11.42,45,2418,0x0000000000000000
07:10:29,37336,4197,4935301,7872391,14777208,134.5,6.9,100.0,4,11.40,45,2418,0x0000000000000000
07:10:30,37193,4197,4935301,7872391,14777208,130.0,6.5,100.0,3,11.36,45,2418,0x0000000000000000
07:10:31,37400,4197,4935301,7872391,14777212,120.7,6.3,100.0,3,11.35,45,2418,0x0000000000000000
07:10:32,37266,4197,4935301,7872391,14777212,124.0,6.4,99.0,3,11.36,45,2418,0x0000000000000000
07:10:33,37117,4197,4935301,7872391,14777212,148.0,7.0,100.0,4,11.43,45,2418,0x0000000000000000
07:10:34,37314,4197,4935301,7872391,14777216,133.9,6.5,100.0,3,11.36,45,2418,0x0000000000000000
07:10:35,37161,4197,4935301,7872391,14777216,141.0,6.2,100.0,4,11.41,45,2418,0x0000000000000000
07:10:36,37345,4197,4935301,7872391,14777220,136.7,6.5,100.0,4,11.39,45,2418,0x0000000000000000
07:10:37,37199,4197,4935301,7872391,14777220,139.8,6.4,100.0,3,11.39,45,2418,0x0000000000000000
07:10:38,37039,4197,4935301,7872391,14777221,140.1,7.0,100.0,4,11.43,45,2418,0x0000000000000000
07:10:39,37232,4197,4935301,7872391,14777226,138.4,6.6,100.0,4,11.41,45,2418,0x0000000000000000
07:10:40,37071,4197,4935301,7872391,14777226,138.5,6.4,99.0,4,11.36,45,2418,0x0000000000000000
07:10:41,37248,4197,4935301,7872391,14777230,133.7,6.2,100.0,3,11.36,45,2418,0x0000000000000000
